Index,Title,Published_date,tag_count,Views,Likes,Comments,Month,title_length
121,Top 50 Assists of the 2022-23 NBA Regular Season!,4/10/2023,31,115940,1467,157,Apr,49
122,2 HOURS of the NBA's WILDEST ENDINGS of the 2022-23 Season 🔥👀,4/10/2023,31,1294632,2549,117,Apr,61
123,Every 50+ Point Performance of the 2022-23 NBA Season! 🔥,4/10/2023,31,268791,1384,115,Apr,56
124,Top Plays of the Final Week of the NBA's 2022-23 Season 👀,4/10/2023,3,110562,994,49,Apr,57
125,"“Big Shot Bob!"" The Spurs relive one of the pivotal moments in their '05 Championship run!🏆| #Shorts",4/10/2023,31,39052,1854,40,Apr,100
126,"Mac McClung Drops Near TRIPLE-DOUBLE - 20 PTS, 9 REB & 9 AST | April 9, 2023",4/10/2023,8,138786,1800,315,Apr,76
127,"Payton Pritchard's First Career Triple-Double | April 9, 2023",4/10/2023,8,26434,718,78,Apr,61
128,NBA’s BEST Moments of Week 25 | 2022-23 Season,4/10/2023,3,158239,604,40,Apr,46
129,"NBA Top 10 Plays Of The Night | April 9, 2023",4/9/2023,31,408443,6661,427,Apr,45
130,Klay Thompson joins Curry & Harden as the only players to make 300 3PT FGs in a season!😳🔥| #Shorts,4/9/2023,0,103716,4596,86,Apr,98
131,“I’ve been waiting to show people I can still dunk for a longtime” - Udonis Haslem. ✈️👀| #Shorts,4/9/2023,0,64594,3104,97,Apr,96
132,LeBron seals the Lakers Win With the DEEP 3! Crown the King! 👑🔥| #Shorts,4/9/2023,0,121850,6030,289,Apr,72
133,"PELICANS at TIMBERWOLVES | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,266971,2260,361,Apr,63
134,"Kenneth Lofton, Jr. Scores CAREER-HIGH 42 POINTS! | April 9, 2023",4/9/2023,8,541145,5837,1002,Apr,65
135,Jazz @ Lakers | NBA on ESPN Live Scoreboard,4/9/2023,31,73801,935,15,Apr,43
136,"CLIPPERS at SUNS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,935660,6433,921,Apr,55
137,"LeBron James GOES OFF For 36 Points In Lakers W! | April 9, 2023",4/9/2023,8,240909,4368,864,Apr,64
138,"JAZZ at LAKERS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,1670243,15404,1438,Apr,53
139,"KINGS at NUGGETS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,170420,1400,146,Apr,55
140,"WARRIORS at TRAIL BLAZERS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,1312386,13674,1422,Apr,64
141,"GRIZZLIES at THUNDER | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,180186,1490,157,Apr,59
142,"SPURS at MAVERICKS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,86328,757,191,Apr,57
143,BAZLEY WITH THE INSANE POSTER SLAM! 😯🔥| #Shorts,4/9/2023,0,35390,1447,31,Apr,47
144,"Udonis Haslem Leads Heat To Victory In His Final Regular Season Game! | April 9, 2023",4/9/2023,6,525986,8862,1081,Apr,85
145,"PACERS at KNICKS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,73776,759,133,Apr,55
146,"MAGIC at HEAT | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,166825,2290,229,Apr,52
147,Udonis Haslem Checks Out Of His Final Regular Season Game To Standing Ovation! 👏 | #shorts,4/9/2023,0,60189,2948,104,Apr,90
148,"Cam Thomas GOES OFF For 46 Points In Brooklyn! | April 9, 2023",4/9/2023,8,37018,847,235,Apr,62
149,"76ERS at NETS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,194043,1721,241,Apr,52
150,"ROCKETS at WIZARDS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,33731,495,73,Apr,57
151,"PISTONS at BULLS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,79053,1030,108,Apr,55
152,"HORNETS at CAVALIERS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,43916,532,52,Apr,59
153,"HAWKS at CELTICS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,211742,2121,319,Apr,55
154,"BUCKS at RAPTORS | FULL GAME HIGHLIGHTS | April 9, 2023",4/9/2023,4,111015,1068,141,Apr,55
155,"Udonis Haslem GOES OFF In 1Q Of His Final Regular Season Game! | April 9, 2023",4/9/2023,6,113664,3093,443,Apr,78
156,Udonis Haslem Checks In For His Final Regular Season Game! 🫡 | #shorts,4/9/2023,0,108779,5094,80,Apr,70
157,"TEAM WORLD vs TEAM USA | 2023 Nike Hoop Summit | Full Game Highlights | April 8, 2023",4/9/2023,3,2140089,26039,1301,Apr,85
158,LeBron James & Draymond Green meet the USA Junior Women’s team at the 2023 Nike Hoop Summit!,4/9/2023,31,691273,31617,453,Apr,92
159,"NBA Top 5 Plays Of The Night | April 8, 2023",4/9/2023,31,264971,5028,191,Apr,44
160,"TIMBERWOLVES at SPURS | FULL GAME HIGHLIGHTS | April 8, 2023",4/8/2023,4,138795,1241,117,Apr,60
161,"TRAIL BLAZERS at CLIPPERS | FULL GAME HIGHLIGHTS | April 8, 2023",4/8/2023,4,589529,4098,463,Apr,64
162,"NUGGETS at JAZZ | FULL GAME HIGHLIGHTS | April 8, 2023",4/8/2023,4,213831,1702,296,Apr,54
163,"LIVE: NBA Draft Prospect Victor Wembanyama, Metropolitans 92 (2) vs. Strasbourg",4/8/2023,31,55583,802,72,Apr,79
164,NBA's Top 5 WILD ENDINGS of the Week | #25,4/8/2023,3,60653,611,25,Apr,42
165,"NBA Top 10 Plays Of The Night | April 7, 2023",4/8/2023,31,315252,5255,164,Apr,45
166,TOUGH Mid-Air Adjustment By Ja Morant! 😤 | #shorts,4/8/2023,0,144862,5199,103,Apr,50
167,"SUNS at LAKERS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,1849735,16466,2188,Apr,53
168,"WARRIORS at KINGS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,1400099,12238,1115,Apr,56
169,"BULLS at MAVERICKS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,563663,4168,1273,Apr,57
170,"KNICKS at PELICANS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,138193,1308,194,Apr,57
171,"GRIZZLIES at BUCKS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,323912,2864,380,Apr,57
172,"76ERS at HAWKS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,206103,1989,397,Apr,53
173,"RAPTORS at CELTICS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,220153,2234,364,Apr,57
174,"MAGIC at NETS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,105139,1094,102,Apr,52
175,"ROCKETS at HORNETS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,45466,680,114,Apr,57
176,"HEAT at WIZARDS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,108222,1079,128,Apr,54
177,"PISTONS at PACERS | FULL GAME HIGHLIGHTS | April 7, 2023",4/8/2023,4,35266,605,83,Apr,56
178,Ja Morant NO-LOOK LOB To Jaren Jackson Jr. ‼️ | #shorts,4/8/2023,0,52619,2632,28,Apr,55
179,Mikal “Brooklyn” Bridges Explains His Iconic Celebration! 3️⃣ | #shorts,4/7/2023,0,81065,4660,73,Apr,71
180,"NBA Top 10 Plays Of The Night | April 6, 2023",4/7/2023,31,339803,5198,166,Apr,45
181,Jay Scrubb THROWS IT DOWN WITH AUTHORITY! 😤✈️| #Shorts,4/7/2023,0,63452,2174,20,Apr,54
182,DeAndre Jordan Gets Up For The REVERSE ALLEY-OOP SLAM! ✈️😦| #Shorts,4/7/2023,0,75760,2791,49,Apr,67
183,"Kevin Durant (29 PTS) & Chris Paul (25 PTS) Combine For 54 Points In Suns W! | April 6, 2023",4/7/2023,6,124732,1567,237,Apr,92
184,Nuggets @ Suns |NBA on TNT Live Scoreboard,4/7/2023,31,64557,645,7,Apr,42
185,"NUGGETS at SUNS | FULL GAME HIGHLIGHTS | April 6, 2023",4/7/2023,4,877360,6784,1021,Apr,54
186,"THUNDER at JAZZ | FULL GAME HIGHLIGHTS | April 6, 2023",4/7/2023,4,187161,1492,199,Apr,54
187,"TRAIL BLAZERS at SPURS | FULL GAME HIGHLIGHTS | April 6, 2023",4/7/2023,4,67450,796,91,Apr,61
188,"HEAT at 76ERS | FULL GAME HIGHLIGHTS | April 6, 2023",4/7/2023,4,472737,3812,556,Apr,52
189,"CAVALIERS at MAGIC | FULL GAME HIGHLIGHTS | April 6, 2023",4/7/2023,4,171407,1648,190,Apr,57
190,Don’t jump when guarding Jimmy Butler! 🔥🔥| #Shorts,4/7/2023,0,67417,2882,67,Apr,50
191,Bam & UD’s Pre-Game ritual! 😤🔥| #Shorts,4/7/2023,0,43179,2422,26,Apr,39
192,Jaylen Brown's Journey From Draft To Chasing An NBA Title | Pass The Rock Ep. 2 | FULL EPISODE,4/6/2023,31,68121,2987,189,Apr,94
193,INSANE STEAL By Clint Capela! 👀😱 | #shorts,4/6/2023,0,109975,4250,68,Apr,42
194,"NBA Top 10 Plays Of The Night | April 5, 2023",4/6/2023,31,312814,4974,374,Apr,45
195,The Clippers defense leads to the Kawhi Leonard SLAM! 🔥✈️| #Shorts,4/6/2023,0,101445,4298,119,Apr,66
196,Lakers @ Clippers |NBA on ESPN Live Scoreboard,4/6/2023,31,121407,911,6,Apr,46
197,"LAKERS at CLIPPERS | FULL GAME HIGHLIGHTS | April 5, 2023",4/6/2023,4,1802882,14537,3697,Apr,57
198,LeBron James knocks the 3 down from DEEP! 👀😯| #Shorts,4/6/2023,0,64697,2518,46,Apr,53
199,"Herbert Jones (35), CJ McCollum (31) & Trey Murphy III(30) Combine For 96 PTS In Pelicans W!",4/6/2023,6,25434,523,56,Apr,92
200,"Jaren Jackson Jr. Drops SEASON-HIGH 40 Points vs. Pelicans! | April 5, 2023",4/6/2023,8,15055,367,40,Apr,75
201,"Kyrie Irving (31 PTS) & Luka Doncic (29 PTS) Combine For 60 Points In Mavericks W! | April 5, 2023",4/6/2023,6,117950,1701,226,Apr,98
202,"GRIZZLIES at PELICANS | FULL GAME HIGHLIGHTS | April 5, 2023",4/6/2023,4,315020,2642,284,Apr,60
203,"KINGS at MAVERICKS | FULL GAME HIGHLIGHTS | April 5, 2023",4/6/2023,4,717934,6692,882,Apr,57
204,Obi Toppin gets up for the Alley-Oop Slam! 😤✈️| #Shorts,4/6/2023,0,29508,1448,17,Apr,55
205,"BULLS at BUCKS | FULL GAME HIGHLIGHTS | April 5, 2023",4/6/2023,4,240026,2289,373,Apr,53
206,"WIZARDS at HAWKS | FULL GAME HIGHLIGHTS | April 5, 2023",4/6/2023,4,60663,764,75,Apr,55
207,"RAPTORS at CELTICS | FULL GAME HIGHLIGHTS | April 5, 2023",4/6/2023,4,275498,2432,399,Apr,57
208,"Immanuel Quickley (39), Obi Toppin (32) & Quentin Grimes(36) Combine For 107 PTS In Knicks W!",4/6/2023,4,38720,881,162,Apr,93
209,"KNICKS at PACERS | FULL GAME HIGHLIGHTS | April 5, 2023",4/6/2023,4,166012,2063,338,Apr,55
210,"NETS at PISTONS | FULL GAME HIGHLIGHTS | April 5, 2023",4/6/2023,4,96132,1131,86,Apr,54
211,Westbrook is ready for battle against his former team in Los Angeles! 👀😤| #Shorts,4/5/2023,0,61027,2822,102,Apr,81
212,NBA players are indeed very good! 😂 Scottie Barnes in the new episode of Pass the Rock!| #Shorts,4/5/2023,0,36467,1668,44,Apr,96
213,The BEST #KumhoHandles of March! 👀| 2022-23 Season,4/5/2023,31,59853,663,22,Apr,50
214,"NBA Top 10 Plays Of The Night | April 4, 2023",4/5/2023,31,381266,6735,400,Apr,45
215,NASTY Jordan Poole Finish Off Draymond Green’s Steal! 👏 | #shorts,4/5/2023,0,282064,6623,59,Apr,65
